
# Surface 0 of 1 surfaces

# Curve title: ""main_contourtmp0.dat""

# Contour 0, label:       30
 1.16698  4.99984  30 
 1.2499  4.95415  30 
 1.66656  4.68007  30 
 1.79405  4.58318  30 
 2.08322  4.34939  30 
 2.2831  4.16652  30 
 2.49988  3.95467  30 
 2.68762  3.74986  30 
 2.91654  3.48186  30 
 3.03154  3.3332  30 
 3.33022  2.91654  30 
 3.3332  2.91199  30 
 3.57902  2.49988  30 
 3.74986  2.18575  30 
 3.80112  2.08322  30 
 3.98638  1.66656  30 
 4.15004  1.2499  30 
 4.16652  1.20047  30 
 4.27951  0.83324  30 
 4.38544  0.41658  30 
 4.46827 -8e-05  30 
 4.5269 -0.41674  30 
 4.56012 -0.8334  30 
 4.56667 -1.25006  30 
 4.5452 -1.66672  30 
 4.49425 -2.08338  30 
 4.41227 -2.50004  30 
 4.29761 -2.9167  30 
 4.16652 -3.28371  30 
 4.14625 -3.33336  30 
 3.93749 -3.75002  30 
 3.74986 -4.06056  30 
 3.67479 -4.16668  30 
 3.3332 -4.57857  30 
 3.32843 -4.58334  30 
 2.91654 -4.94241  30 
 2.83334 -5  30 

-2.83357  4.99984  30 
-2.9167  4.94229  30 
-3.32859  4.58318  30 
-3.33336  4.57841  30 
-3.67491  4.16652  30 
-3.75002  4.06032  30 
-3.93758  3.74986  30 
-4.14632  3.3332  30 
-4.16668  3.28331  30 
-4.29766  2.91654  30 
-4.41231  2.49988  30 
-4.49427  2.08322  30 
-4.54521  1.66656  30 
-4.56667  1.2499  30 
-4.5601  0.83324  30 
-4.52687  0.41658  30 
-4.46824 -8e-05  30 
-4.3854 -0.41674  30 
-4.27947 -0.8334  30 
-4.16668 -1.19995  30 
-4.14998 -1.25006  30 
-3.98632 -1.66672  30 
-3.80105 -2.08338  30 
-3.75002 -2.18545  30 
-3.57892 -2.50004  30 
-3.33336 -2.91172  30 
-3.3301 -2.9167  30 
-3.03143 -3.33336  30 
-2.9167 -3.48167  30 
-2.68748 -3.75002  30 
-2.50004 -3.9545  30 
-2.28293 -4.16668  30 
-2.08338 -4.34925  30 
-1.79385 -4.58334  30 
-1.66672 -4.67996  30 
-1.25006 -4.95405  30 
-1.16666 -5  30 


# Contour 1, label:       18
-1.25006  4.27733  18 
-1.64289  4.16652  18 
-1.66672  4.15881  18 
-2.08338  3.94391  18 
-2.35018  3.74986  18 
-2.50004  3.62139  18 
-2.76032  3.3332  18 
-2.9167  3.12241  18 
-3.0413  2.91654  18 
-3.24107  2.49988  18 
-3.33336  2.24277  18 
-3.38191  2.08322  18 
-3.46952  1.66656  18 
-3.51876  1.2499  18 
-3.53197  0.83324  18 
-3.51133  0.41658  18 
-3.45881 -8e-05  18 
-3.37627 -0.41674  18 
-3.33336 -0.576095  18 
-3.25671 -0.8334  18 
-3.10206 -1.25006  18 
-2.9197 -1.66672  18 
-2.9167 -1.67261  18 
-2.68331 -2.08338  18 
-2.50004 -2.37137  18 
-2.40766 -2.50004  18 
-2.08338 -2.90801  18 
-2.07545 -2.9167  18 
-1.66672 -3.32544  18 
-1.65743 -3.33336  18 
-1.25006 -3.65266  18 
-1.09997 -3.75002  18 
-0.8334 -3.90996  18 
-0.41674 -4.10638  18 
-0.235855 -4.16668  18 
-8e-05 -4.23966  18 
 0.41658 -4.31259  18 
 0.83324 -4.32667  18 
 1.2499 -4.27737  18 
 1.64241 -4.16668  18 
 1.66656 -4.15887  18 
 2.08322 -3.94401  18 
 2.34998 -3.75002  18 
 2.49988 -3.62155  18 
 2.7602 -3.33336  18 
 2.91654 -3.12265  18 
 3.0412 -2.9167  18 
 3.24101 -2.50004  18 
 3.3332 -2.24326  18 
 3.38186 -2.08338  18 
 3.46949 -1.66672  18 
 3.51874 -1.25006  18 
 3.53197 -0.8334  18 
 3.51134 -0.41674  18 
 3.45883 -8e-05  18 
 3.3763  0.41658  18 
 3.3332  0.576655  18 
 3.25677  0.83324  18 
 3.10212  1.2499  18 
 2.91977  1.66656  18 
 2.91654  1.67289  18 
 2.6834  2.08322  18 
 2.49988  2.37161  18 
 2.40779  2.49988  18 
 2.08322  2.90821  18 
 2.07562  2.91654  18 
 1.66656  3.3256  18 
 1.65765  3.3332  18 
 1.2499  3.65278  18 
 1.10023  3.74986  18 
 0.83324  3.91005  18 
 0.41658  4.10645  18 
 0.236357  4.16652  18 
-8e-05  4.2397  18 
-0.41674  4.31261  18 
-0.8334  4.32666  18 
-1.25006  4.27733  18 


# Contour 2, label:       10
-1.25006  3.08948  10 
-1.58354  2.91654  10 
-1.66672  2.8636  10 
-2.04772  2.49988  10 
-2.08338  2.45583  10 
-2.30958  2.08322  10 
-2.48854  1.66656  10 
-2.50004  1.62486  10 
-2.58335  1.2499  10 
-2.62613  0.83324  10 
-2.6228  0.41658  10 
-2.57691 -8e-05  10 
-2.50004 -0.374803  10 
-2.49017 -0.41674  10 
-2.34759 -0.8334  10 
-2.16664 -1.25006  10 
-2.08338 -1.40781  10 
-1.92469 -1.66672  10 
-1.66672 -2.03023  10 
-1.62175 -2.08338  10 
-1.25006 -2.46994  10 
-1.21423 -2.50004  10 
-0.8334 -2.78567  10 
-0.604106 -2.9167  10 
-0.41674 -3.01341  10 
-8e-05 -3.15553  10 
 0.41658 -3.22126  10 
 0.83324 -3.20239  10 
 1.2499 -3.08955  10 
 1.58329 -2.9167  10 
 1.66656 -2.86372  10 
 2.0476 -2.50004  10 
 2.08322 -2.45604  10 
 2.3095 -2.08338  10 
 2.4885 -1.66672  10 
 2.49988 -1.62547  10 
 2.58332 -1.25006  10 
 2.62612 -0.8334  10 
 2.62281 -0.41674  10 
 2.57693 -8e-05  10 
 2.49988  0.375573  10 
 2.49023  0.41658  10 
 2.34766  0.83324  10 
 2.16671  1.2499  10 
 2.08322  1.40809  10 
 1.9248  1.66656  10 
 1.66656  2.03045  10 
 1.62191  2.08322  10 
 1.2499  2.47011  10 
 1.21445  2.49988  10 
 0.83324  2.78578  10 
 0.604398  2.91654  10 
 0.41658  3.01347  10 
-8e-05  3.15558  10 
-0.41674  3.22127  10 
-0.8334  3.20237  10 
-1.25006  3.08948  10 


# Contour 3, label:        5
-0.8334  2.19997  5 
-1.06686  2.08322  5 
-1.25006  1.96106  5 
-1.50988  1.66656  5 
-1.66672  1.39988  5 
-1.7292  1.2499  5 
-1.82668  0.83324  5 
-1.85256  0.41658  5 
-1.8148 -8e-05  5 
-1.72022 -0.41674  5 
-1.66672 -0.566535  5 
-1.55069 -0.8334  5 
-1.31247 -1.25006  5 
-1.25006 -1.33817  5 
-0.956093 -1.66672  5 
-0.8334 -1.78328  5 
-0.41674 -2.07451  5 
-0.395686 -2.08338  5 
-8e-05 -2.22725  5 
 0.41658 -2.27381  5 
 0.83324 -2.20003  5 
 1.06659 -2.08338  5 
 1.2499 -1.9612  5 
 1.50977 -1.66672  5 
 1.66656 -1.40022  5 
 1.72914 -1.25006  5 
 1.82665 -0.8334  5 
 1.85256 -0.41674  5 
 1.81482 -8e-05  5 
 1.72025  0.41658  5 
 1.66656  0.566932  5 
 1.55078  0.83324  5 
 1.31256  1.2499  5 
 1.2499  1.33835  5 
 0.956237  1.66656  5 
 0.83324  1.7834  5 
 0.41658  2.07462  5 
 0.396159  2.08322  5 
-8e-05  2.22729  5 
-0.41674  2.27381  5 
-0.8334  2.19997  5 


# Contour 4, label:        2
-0.41674  1.41152  2 
-0.766815  1.2499  2 
-0.8334  1.19994  2 
-1.05901  0.83324  2 
